dataset,algorithm,rt,centr,knn,ogf
MNIST,$\alpha = $0.25,-1.1333221511131581,0.4924240098085804,-2.7913753309659124,-1.9623487410395353
Muraro,$\alpha = $0.25,0.2370238466481988,0.32547517532309794,-1.5584988438542486,-0.6607374986030249
TMLung,$\alpha = $0.25,1.5147281786202993,0.6116731772982117,0.2573791857504341,0.8860536821853667
TMPanc,$\alpha = $0.25,1.709779587382877,1.3987176827297745,-0.29897120156005175,0.7054041929114125
CAFs,$\alpha = $0.5,0.7457046799446183,0.8263216787795471,0.6671706267172937,0.706437653330956
CellMix,$\alpha = $0.5,0.39643732362171535,-0.5092689971043179,0.8930715056464182,0.6447544146340668
Duo4eq,$\alpha = $0.5,0.545120413830475,0.32547517532309794,-1.843082959683129,-0.648981272926327
Duo8eq,$\alpha = $0.5,0.7030245597657552,1.2913934319891072,-1.5988895594148387,-0.44793249982454175
FMNIST,$\alpha = $0.5,1.6946854707330266,1.2361051816075503,-1.7951674237085418,-0.050240976487757605
Kang,$\alpha = $0.5,0.6840510066711925,-1.0339653340586932,0.15316660175491292,0.4186088042130527
MNIST,$\alpha = $0.5,-1.4079646081448352,0.5910755938227302,-1.9941303456055388,-1.7010474768751869
Muraro,$\alpha = $0.5,0.25143816596944446,-0.7000676650877274,0.6069537267282215,0.42919594634883296
TMLung,$\alpha = $0.5,1.1418907581533966,0.28970042507620797,0.12819925983367167,0.6350450089935341
TMPanc,$\alpha = $0.5,1.422846559034042,1.2198439314953282,0.21885183942438208,0.8208491992292121
CAFs,$\alpha = $0.75,0.76690803836173,0.8263216787795471,0.8851166469790919,0.8260123426704109
CellMix,$\alpha = $0.75,-0.7490350034873543,-1.1770643350462506,0.9032788153342427,0.0771219059234442
Duo4eq,$\alpha = $0.75,-0.2507354871973991,-1.1770643350462506,-1.0567802108192341,-0.6537578490083166
Duo8eq,$\alpha = $0.75,-0.9786466754808036,0.27777550832724496,-1.1072468468746806,-1.042946761177742
FMNIST,$\alpha = $0.75,0.27600970171947053,0.8566760123223616,-0.7570676967613745,-0.240528997520952
Kang,$\alpha = $0.75,-0.094061809931638,-1.4392457214710053,0.5535360928418359,0.22973714145509896
MNIST,$\alpha = $0.75,-1.9029120289819623,0.4089495925658392,0.6539714005949617,-0.6244703141935003
Muraro,$\alpha = $0.75,-1.347442484894758,-1.284388585786918,0.6582407612946465,-0.3446008618000557
TMLung,$\alpha = $0.75,0.13788287307585598,-0.7477673320835796,0.4870323873802333,0.3124576302280446
TMPanc,$\alpha = $0.75,9.190977521951436e-06,0.2539256748293189,0.7096580260965856,0.35483360853705376
